Benchmark                                                           (capacity)  (initialSize)  (iterations)  (preallocateSize)  Mode  Cnt      Score       Error  Units
BitAndResizableArrayQueueBenchmark.EnqueueingPreallocate.enqueue           N/A            N/A           N/A            2097152  avgt   10   3432.497 ±    75.798  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A               4096  avgt   10      9.530 ±     0.174  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A               8192  avgt   10     18.898 ±     0.440  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              16384  avgt   10     38.264 ±     0.521  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              32768  avgt   10     76.185 ±     2.009  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A              65536  avgt   10    150.117 ±     4.663  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A             131072  avgt   10    301.528 ±    12.506  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A             524288  avgt   10   1198.051 ±    31.741  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A            1048576  avgt   10   2426.198 ±    60.627  us/op
BranchResizableArrayQueueBenchmark.EnqueueingDequeing.enqueue              N/A            N/A           N/A            2097152  avgt   10   4818.975 ±    80.049  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A               4096  avgt   10     16.729 ±     0.930  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A               8192  avgt   10     33.317 ±     1.061  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              16384  avgt   10     66.169 ±     2.621  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              32768  avgt   10    131.643 ±     7.879  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A              65536  avgt   10    262.238 ±     8.365  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A             131072  avgt   10    540.137 ±    21.340  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A             524288  avgt   10   2257.856 ±    87.560  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A            1048576  avgt   10   4500.410 ±    98.278  us/op
BranchResizableArrayQueueBenchmark.EnqueueingNoPreallocate.enqueue         N/A            N/A           N/A            2097152  avgt   10   9214.935 ±   538.392  us/op
